* lispy-mode-map
--------------

key             binding
---             -------

C-a             lispy-move-beginning-of-line
C-d             lispy-delete
C-e             lispy-move-end-of-line
C-j             lispy-newline-and-indent
C-k             lispy-kill
RET             lispy-newline-and-indent-plain
C-y             lispy-yank
ESC             Prefix Command
SPC             lispy-space
"               lispy-quotes
#               lispy-hash
'               lispy-tick
(               lispy-parens
)               lispy-right-nostring
+               special-lispy-join
-               special-lispy-ace-subword
.               special-lispy-repeat
/               special-lispy-splice
0 .. 9          special-digit-argument
:               lispy-colon
;               lispy-comment
<               special-lispy-barf
>               special-lispy-slurp
A               special-lispy-beginning-of-defun
B               special-lispy-ediff-regions
C               special-lispy-convolute
D               special-pop-tag-mark
E               special-lispy-eval-and-insert
F               special-lispy-follow
G               special-lispy-goto-local
H               special-lispy-ace-symbol-replace
I               special-lispy-shifttab
J               special-lispy-outline-next
K               special-lispy-outline-prev
L               special-lispy-outline-goto-child
M               special-lispy-alt-multiline
N               special-lispy-narrow
O               special-lispy-oneline
P               special-lispy-eval-other-window
Q               special-lispy-ace-char
R               special-lispy-raise-some
S               special-lispy-stringify
V               special-lispy-visit
W               special-lispy-widen
X               special-lispy-splice
Z               special-lispy-edebug-stop
[               lispy-backward
]               lispy-forward
^               lispy-hat
_               special-lispy-underscore
`               lispy-backtick
a               special-lispy-ace-symbol
b               special-lispy-back
c               special-lispy-clone
d               special-lispy-delete
e               special-lispy-eval
f               special-lispy-flow
g               special-lispy-goto
h               special-lispy-left
i               special-lispy-tab
j               special-lispy-down
k               special-lispy-up
l               special-lispy-right
m               special-lispy-mark-list
n               special-lispy-occur
o               special-lispy-other-mode
p               special-lispy-paste
q               special-lispy-ace-paren
r               special-lispy-raise
s               special-lispy-move-down
t               special-lispy-different
u               special-lispy-undo
v               special-lispy-view
w               special-lispy-move-up
x               special-lispy-x
y               special-lispy-new-copy
z               special-lh-knight/body
{               lispy-braces
}               lispy-brackets
~               special-lispy-tilde
DEL             lispy-delete-backward
C-,             lispy-kill-at-point
C-1             lispy-describe-inline
C-2             lispy-arglist-inline
C-3             lispy-right
C-4             lispy-x
C-7             lispy-cursor-down
C-8             lispy-parens-down
C-9             lispy-out-forward-newline
<C-return>      lispy-open-line
<M-left>        lispy-outline-demote
<M-return>      lispy-meta-return
<M-right>       lispy-outline-promote
<backtab>       lispy-shifttab
M-RET           lispy-meta-return
M-,             pop-tag-mark
M-.             lispy-goto-symbol
M-J             lispy-join
M-d             lispy-kill-word
M-h             lispy-left
M-i             lispy-iedit
M-j             lispy-split
M-k             lispy-kill-sentence
M-m             lispy-mark-symbol
M-o             lispy-string-oneline
M-q             lispy-fill
M-DEL           lispy-backward-kill-word
C-M-,           lispy-mark

